iter	RMSE
0	0.9336713724
1	0.9069762004
2	0.8810971963
3	0.8559670459
4	0.8316139404
5	0.8080758539
6	0.7852400474
7	0.7631605981
8	0.7414869205
9	0.7206497274
10	0.7003913632
11	0.6807084943
12	0.6617616653
13	0.643325162
14	0.6254542562
15	0.6082976811
16	0.5916166164
17	0.5755822777
18	0.5599421134
19	0.5448303662
20	0.5300893355
21	0.5158311035
22	0.5020583321
23	0.4886775306
24	0.4757035387
25	0.4632950011
26	0.4513801424
27	0.4396878279
28	0.4284676275
29	0.4176778407
30	0.4072305171
31	0.3970446605
32	0.3871389507
33	0.3777681158
34	0.3686469043
35	0.3598391968
36	0.3513643712
37	0.3431914052
38	0.3352324501
39	0.3273364186
40	0.3195945274
41	0.3123997141
42	0.3055477602
43	0.2989188013
44	0.2925094684
45	0.2863127267
46	0.2803807838
47	0.2747944253
48	0.2693254202
49	0.2640926802
50	0.2590861367
51	0.2539319272
52	0.2488859618
53	0.2443634892
54	0.2400006842
55	0.2356253141
56	0.2313934666
57	0.2276386912
58	0.2240446021
59	0.2205030901
60	0.2171855877
61	0.2139919547
62	0.2109119873
63	0.2075761481
64	0.2047615363
65	0.2020430367
66	0.1994748424
67	0.1970464633
68	0.1942838325
69	0.1919764786
70	0.1898301276
71	0.1874092112
72	0.185382557
73	0.1833609565
74	0.1813980217
75	0.1796380113
76	0.1779910516
77	0.1764830907
78	0.1748901749
79	0.1735127694
80	0.1721173819
81	0.1708269257
82	0.1695979509
83	0.167963433
84	0.1667441961
85	0.1652978622
86	0.1638664537
87	0.1626130835
88	0.1616960652
89	0.1608061517
90	0.1597214685
91	0.1588322933
92	0.1580540213
93	0.1572129313
94	0.1565024265
95	0.1557000658
96	0.1550627901
97	0.1544001637
98	0.1537329899
99	0.1530821849
100	0.1524613065
101	0.1518623654
102	0.1511594956
103	0.1506901792
104	0.1500837038
105	0.1496583017
106	0.1490188279
107	0.1485848923
108	0.1480660117
109	0.1476110941
110	0.1469169366
111	0.1464177077
112	0.1460204224
113	0.1455998516
114	0.1450867857
115	0.1447580322
116	0.1442260029
117	0.143804384
118	0.1435375304
119	0.1431798806
120	0.1429467223
121	0.1427286662
122	0.1423294635
123	0.1419888435
124	0.1415706785
125	0.1413827683
126	0.1409201766
127	0.1406790902
128	0.1403067762
129	0.1400091102
130	0.13984588
131	0.1394584582
132	0.1391374265
133	0.1389209936
134	0.138659494
135	0.1382795851
136	0.1379552229
137	0.1377244805
138	0.1374841041
139	0.1373706403
140	0.137133594
141	0.1368957735
142	0.1365098187
143	0.1362396863
144	0.1360627716
145	0.1359582991
146	0.1357449992
147	0.1353822563
148	0.1350621157
149	0.1348856442
150	0.1345641617
151	0.1343446476
152	0.1340422332
153	0.1337602814
154	0.1334174243
155	0.1332605113
156	0.1329890773
157	0.1327466619
158	0.1326409506
159	0.1323967309
160	0.1322683877
161	0.13199846
162	0.1318648624
163	0.1316447243
164	0.1314509094
165	0.1311831389
166	0.1309754629
167	0.1308772827
168	0.1307851095
169	0.1306531312
170	0.1304767299
171	0.1302996175
172	0.1301232266
173	0.1300485475
174	0.129864741
175	0.1296505331
176	0.1295555387
177	0.1294937151
178	0.1293309381
179	0.1291893828
180	0.1291067634
181	0.128943171
182	0.1287945196
183	0.128661827
184	0.128446815
185	0.1283466931
186	0.1282093006
187	0.1280742605
188	0.1279755075
189	0.1279186524
190	0.1277664352
191	0.1277107817
192	0.1276622643
193	0.1275243806
194	0.1273130941
195	0.1272019009
196	0.1271587304
197	0.1270335802
198	0.126855126
199	0.1267825727
200	0.1266785221
201	0.1264879001
