iter	Passed	Remaining
0	14	56060
1	27	54917
2	40	53940
3	54	54569
4	69	55182
5	83	55366
6	95	54679
7	109	54788
8	123	54773
9	135	54187
10	148	53788
11	160	53461
12	173	53120
13	185	52842
14	199	53083
15	213	53068
16	227	53325
17	241	53345
18	254	53313
19	267	53137
20	280	53139
21	292	52921
22	305	52803
23	318	52783
24	332	52867
25	345	52874
26	359	52904
27	372	52814
28	385	52777
29	398	52736
30	411	52624
31	423	52573
32	437	52536
33	449	52447
34	461	52272
35	473	52148
36	486	52102
37	499	52044
38	511	51904
39	523	51858
40	537	51886
41	550	51872
42	562	51776
43	576	51824
44	590	51857
45	602	51766
46	614	51703
47	627	51625
48	639	51529
49	651	51492
50	663	51403
51	676	51327
52	687	51233
53	700	51170
54	713	51157
55	724	51040
56	737	50998
57	750	50981
58	763	50985
59	775	50952
60	788	50933
61	801	50906
62	813	50834
63	825	50738
64	837	50721
65	850	50670
66	862	50615
67	874	50584
68	887	50588
69	900	50560
70	913	50530
71	925	50474
72	938	50468
73	950	50447
74	963	50422
75	975	50385
76	988	50360
77	1000	50298
78	1012	50261
79	1024	50198
80	1037	50182
81	1050	50178
82	1062	50162
83	1075	50124
84	1088	50112
85	1101	50110
86	1113	50080
87	1127	50100
88	1140	50099
89	1152	50076
90	1165	50081
91	1179	50085
92	1192	50100
93	1205	50088
94	1219	50113
95	1232	50134
96	1245	50133
97	1260	50185
98	1273	50195
99	1287	50209
100	1299	50178
101	1312	50169
102	1325	50161
103	1339	50165
104	1351	50147
105	1364	50126
106	1376	50067
107	1388	50028
108	1400	49985
109	1412	49958
110	1424	49921
111	1437	49911
112	1451	49928
113	1464	49933
114	1477	49917
115	1490	49915
116	1503	49887
117	1516	49892
118	1530	49927
119	1543	49918
120	1557	49924
121	1571	49950
122	1585	49961
123	1598	49981
124	1612	49981
125	1625	49984
126	1638	49980
127	1651	49953
128	1663	49925
129	1677	49938
130	1690	49918
131	1702	49885
132	1714	49843
133	1726	49820
134	1739	49792
135	1751	49758
136	1762	49701
137	1774	49662
138	1787	49641
139	1799	49611
140	1810	49564
141	1822	49527
142	1833	49466
143	1845	49413
144	1856	49347
145	1867	49300
146	1878	49239
147	1890	49194
148	1901	49146
149	1912	49080
150	1924	49051
151	1935	49008
152	1948	48986
153	1959	48930
154	1970	48879
155	1980	48805
156	1991	48757
157	2003	48712
158	2014	48655
159	2025	48615
160	2036	48556
161	2047	48509
162	2058	48449
163	2069	48402
164	2081	48370
165	2094	48374
166	2105	48336
167	2117	48289
168	2127	48229
169	2138	48184
170	2149	48133
171	2161	48095
172	2172	48062
173	2184	48023
174	2194	47972
175	2207	47963
176	2218	47917
177	2230	47897
178	2242	47861
179	2253	47831
180	2265	47807
181	2278	47797
182	2291	47802
183	2304	47783
184	2316	47773
185	2329	47759
186	2342	47768
187	2356	47774
188	2368	47766
189	2382	47782
190	2394	47753
191	2406	47721
192	2418	47699
193	2430	47675
194	2442	47660
195	2453	47616
196	2464	47568
197	2475	47542
198	2487	47512
199	2499	47483
200	2510	47458
201	2522	47433
202	2533	47392
203	2545	47362
204	2556	47335
205	2569	47329
206	2583	47336
207	2593	47288
208	2604	47238
209	2616	47215
210	2630	47228
211	2641	47206
212	2653	47186
213	2666	47172
214	2678	47153
215	2690	47131
216	2703	47132
217	2716	47119
218	2728	47106
219	2741	47097
220	2752	47065
221	2764	47046
222	2777	47050
223	2790	47037
224	2802	47025
225	2814	46997
226	2825	46966
227	2837	46940
228	2848	46914
229	2860	46891
230	2872	46873
231	2884	46849
232	2896	46836
233	2908	46807
234	2920	46786
235	2931	46760
236	2944	46751
237	2956	46726
238	2967	46692
239	2977	46648
240	2989	46623
241	3000	46597
242	3011	46553
243	3022	46520
244	3032	46483
245	3044	46461
246	3056	46448
247	3068	46421
248	3078	46380
249	3090	46354
250	3102	46342
251	3113	46308
252	3126	46298
253	3138	46285
254	3151	46278
255	3162	46258
256	3174	46228
257	3184	46184
258	3195	46163
259	3207	46144
260	3218	46107
261	3229	46073
262	3240	46039
263	3250	46006
264	3262	45979
265	3273	45951
266	3284	45917
267	3294	45882
268	3306	45861
269	3318	45847
270	3330	45826
271	3342	45810
272	3354	45796
273	3367	45791
274	3382	45811
275	3397	45834
276	3411	45857
277	3423	45841
278	3437	45849
279	3450	45847
280	3463	45843
281	3476	45841
282	3489	45835
283	3503	45835
284	3515	45818
285	3528	45820
286	3540	45808
287	3554	45809
288	3567	45808
289	3579	45799
290	3593	45796
291	3603	45762
292	3615	45737
293	3627	45729
294	3639	45708
295	3651	45694
296	3663	45676
297	3675	45663
298	3688	45654
299	3700	45643
300	3713	45632
301	3725	45618
302	3738	45615
303	3751	45606
304	3763	45588
305	3775	45577
306	3786	45547
307	3798	45532
308	3810	45511
309	3821	45493
310	3833	45474
311	3846	45465
312	3858	45455
313	3870	45438
314	3882	45413
315	3893	45391
316	3905	45372
317	3917	45357
318	3929	45337
319	3942	45343
320	3955	45334
321	3968	45329
322	3980	45315
323	3992	45294
324	4005	45292
325	4017	45275
326	4028	45251
327	4040	45234
328	4050	45201
329	4062	45177
330	4074	45161
331	4085	45137
332	4096	45108
333	4108	45096
334	4120	45081
335	4130	45046
336	4143	45041
337	4154	45013
338	4166	44992
339	4178	44975
340	4189	44955
341	4200	44929
342	4211	44906
343	4222	44874
344	4233	44846
345	4244	44828
346	4255	44797
347	4267	44780
348	4278	44758
349	4288	44718
350	4299	44696
351	4310	44673
352	4323	44670
353	4336	44663
354	4348	44646
355	4360	44631
356	4371	44612
357	4382	44582
358	4393	44562
359	4405	44548
360	4434	44702
361	4450	44728
362	4460	44692
363	4470	44658
364	4482	44644
365	4494	44622
366	4508	44635
367	4522	44637
368	4536	44639
369	4551	44654
370	4564	44651
371	4577	44638
372	4588	44618
373	4601	44611
374	4613	44600
375	4625	44579
376	4636	44553
377	4648	44544
378	4660	44527
379	4671	44501
380	4683	44487
381	4695	44471
382	4706	44449
383	4717	44421
384	4730	44413
385	4741	44395
386	4753	44376
387	4765	44359
388	4776	44335
389	4786	44310
390	4797	44282
391	4808	44258
392	4820	44244
393	4831	44217
394	4842	44194
395	4854	44183
396	4867	44171
397	4879	44161
398	4891	44148
399	4904	44141
400	4917	44135
401	4929	44124
402	4941	44105
403	4953	44089
404	4965	44075
405	4977	44058
406	4990	44054
407	5002	44040
408	5013	44021
409	5025	44001
410	5037	43985
411	5049	43974
412	5061	43957
413	5072	43937
414	5084	43920
415	5096	43908
416	5108	43893
417	5120	43880
418	5134	43879
419	5145	43863
420	5158	43850
421	5171	43845
422	5183	43837
423	5195	43822
424	5208	43808
425	5219	43787
426	5230	43768
427	5241	43746
428	5253	43729
429	5265	43715
430	5276	43692
431	5288	43677
432	5300	43661
433	5311	43645
434	5323	43627
435	5334	43605
436	5345	43584
437	5356	43562
438	5368	43544
439	5379	43523
440	5390	43506
441	5402	43485
442	5413	43465
443	5424	43443
444	5435	43422
445	5447	43405
446	5460	43399
447	5473	43398
448	5486	43389
449	5499	43382
450	5511	43369
451	5523	43357
452	5536	43348
453	5550	43349
454	5562	43337
455	5573	43319
456	5585	43299
457	5596	43278
458	5609	43271
459	5622	43265
460	5636	43273
461	5650	43274
462	5664	43273
463	5677	43266
464	5689	43253
465	5704	43259
466	5717	43252
467	5730	43244
468	5741	43228
469	5753	43208
470	5765	43199
471	5777	43185
472	5787	43156
473	5798	43136
474	5809	43111
475	5820	43090
476	5831	43073
477	5844	43063
478	5855	43041
479	5865	43011
480	5876	42993
481	5888	42975
482	5898	42951
483	5911	42945
484	5923	42930
485	5935	42914
486	5948	42908
487	5960	42894
488	5971	42877
489	5983	42864
490	5995	42844
491	6007	42834
492	6017	42808
493	6029	42791
494	6040	42773
495	6052	42760
496	6064	42747
497	6077	42739
498	6089	42724
499	6101	42707
500	6112	42692
501	6123	42672
502	6134	42647
503	6146	42632
504	6156	42607
505	6168	42595
506	6180	42579
507	6191	42558
508	6202	42540
509	6213	42517
510	6224	42498
511	6235	42481
512	6248	42475
513	6262	42472
514	6273	42453
515	6284	42434
516	6296	42422
517	6310	42419
518	6322	42408
519	6334	42389
520	6347	42382
521	6360	42378
522	6373	42372
523	6386	42362
524	6398	42349
525	6410	42335
526	6422	42321
527	6433	42306
528	6444	42285
529	6455	42266
530	6466	42242
531	6479	42236
532	6491	42226
533	6502	42205
534	6513	42185
535	6524	42167
536	6536	42151
537	6548	42136
538	6560	42126
539	6572	42113
540	6584	42101
541	6597	42092
542	6610	42083
543	6622	42071
544	6634	42057
545	6647	42049
546	6660	42044
547	6673	42040
548	6687	42038
549	6701	42034
550	6714	42031
551	6727	42024
552	6741	42022
553	6755	42019
554	6767	42005
555	6779	41991
556	6791	41981
557	6803	41967
558	6816	41957
559	6830	41957
560	6841	41941
561	6853	41925
562	6865	41912
563	6878	41903
564	6890	41893
565	6902	41879
566	6913	41861
567	6925	41846
568	6937	41829
569	6949	41820
570	6961	41807
571	6973	41791
572	6984	41772
573	6995	41756
574	7007	41742
575	7020	41734
576	7032	41721
577	7044	41705
578	7057	41699
579	7070	41689
580	7081	41674
581	7094	41665
582	7107	41658
583	7120	41650
584	7133	41641
585	7146	41632
586	7159	41627
587	7172	41620
588	7183	41603
589	7195	41590
590	7207	41573
591	7218	41556
592	7230	41539
593	7241	41521
594	7253	41508
595	7265	41496
596	7277	41482
597	7288	41464
598	7299	41444
599	7311	41430
600	7322	41415
601	7334	41400
602	7346	41384
603	7358	41374
604	7372	41370
605	7387	41373
606	7400	41368
607	7413	41360
608	7426	41350
609	7438	41336
610	7451	41331
611	7463	41317
612	7475	41306
613	7488	41295
614	7499	41277
615	7511	41266
616	7523	41251
617	7534	41235
618	7547	41223
619	7562	41229
620	7576	41224
621	7590	41220
622	7603	41215
623	7615	41202
624	7629	41196
625	7641	41183
626	7654	41177
627	7667	41170
628	7680	41162
629	7691	41144
630	7703	41129
631	7716	41120
632	7728	41106
633	7740	41095
634	7752	41083
635	7764	41071
636	7777	41058
637	7788	41042
638	7799	41024
639	7810	41004
640	7822	40992
641	7836	40988
642	7850	40986
643	7864	40982
644	7878	40978
645	7892	40979
646	7909	40990
647	7925	40999
648	7942	41009
649	7956	41008
650	7971	41008
651	7987	41014
652	8000	41005
653	8015	41007
654	8029	41006
655	8044	41008
656	8057	41000
657	8068	40980
658	8081	40969
659	8091	40948
660	8102	40930
661	8114	40915
662	8126	40902
663	8140	40896
664	8153	40889
665	8165	40878
666	8177	40862
667	8189	40850
668	8201	40836
669	8214	40825
670	8225	40808
671	8236	40791
672	8247	40772
673	8259	40759
674	8271	40746
675	8283	40729
676	8296	40720
677	8307	40702
678	8319	40689
679	8330	40671
680	8342	40657
681	8354	40644
682	8365	40629
683	8376	40608
684	8388	40596
685	8399	40575
686	8411	40561
687	8422	40546
688	8433	40528
689	8446	40516
690	8457	40499
691	8468	40482
692	8480	40469
693	8493	40462
694	8505	40445
695	8517	40432
696	8528	40417
697	8539	40397
698	8551	40384
699	8563	40373
700	8575	40357
701	8586	40339
702	8599	40329
703	8611	40317
704	8622	40300
705	8636	40295
706	8650	40290
707	8662	40280
708	8674	40264
709	8686	40249
710	8697	40233
711	8709	40218
712	8721	40206
713	8734	40196
714	8744	40176
715	8757	40166
716	8769	40154
717	8782	40143
718	8793	40128
719	8806	40119
720	8817	40102
721	8830	40091
722	8843	40083
723	8856	40074
724	8869	40065
725	8881	40052
726	8893	40040
727	8907	40033
728	8919	40021
729	8930	40001
730	8942	39991
731	8954	39977
732	8967	39966
733	8980	39958
734	8993	39952
735	9007	39948
736	9021	39939
737	9033	39928
738	9047	39924
739	9060	39916
740	9072	39902
741	9083	39884
742	9094	39865
743	9105	39850
744	9116	39832
745	9129	39820
746	9143	39815
747	9155	39806
748	9168	39796
749	9183	39793
750	9195	39782
751	9207	39769
752	9219	39754
753	9230	39737
754	9243	39729
755	9256	39717
756	9269	39710
757	9279	39689
758	9292	39680
759	9304	39666
760	9315	39651
761	9328	39639
762	9339	39622
763	9351	39608
764	9362	39590
765	9373	39574
766	9386	39563
767	9398	39553
768	9411	39543
769	9423	39529
770	9434	39510
771	9447	39504
772	9459	39489
773	9471	39476
774	9482	39458
775	9494	39444
776	9505	39430
777	9518	39418
778	9529	39401
779	9541	39388
780	9553	39374
781	9565	39364
782	9577	39350
783	9588	39332
784	9599	39316
785	9611	39304
786	9623	39288
787	9635	39275
788	9647	39261
789	9658	39247
790	9671	39236
791	9683	39222
792	9694	39205
793	9706	39194
794	9718	39181
795	9730	39166
796	9743	39157
797	9756	39146
798	9769	39137
799	9780	39123
800	9792	39107
801	9803	39090
802	9815	39079
803	9828	39071
804	9842	39064
805	9855	39056
806	9870	39052
807	9882	39041
808	9893	39023
809	9907	39018
810	9920	39010
811	9933	39001
812	9945	38986
813	9958	38977
814	9971	38968
815	9983	38956
816	9996	38946
817	10006	38926
818	10019	38916
819	10030	38900
820	10042	38886
821	10053	38869
822	10066	38859
823	10078	38846
824	10091	38835
825	10103	38825
826	10117	38818
827	10129	38805
828	10141	38791
829	10154	38783
830	10168	38777
831	10180	38765
832	10192	38750
833	10204	38736
834	10215	38719
835	10226	38704
836	10238	38691
837	10250	38676
838	10261	38661
839	10273	38647
840	10284	38631
841	10298	38624
842	10310	38611
843	10323	38603
844	10337	38596
845	10349	38583
846	10362	38574
847	10375	38564
848	10387	38551
849	10399	38537
850	10410	38521
851	10423	38513
852	10434	38498
853	10446	38483
854	10458	38469
855	10470	38456
856	10481	38438
857	10492	38423
858	10503	38407
859	10515	38393
860	10526	38375
861	10538	38364
862	10549	38347
863	10561	38335
864	10574	38323
865	10585	38307
866	10597	38295
867	10609	38282
868	10623	38278
869	10635	38261
870	10645	38244
871	10657	38230
872	10668	38211
873	10680	38199
874	10692	38186
875	10703	38171
876	10714	38156
877	10726	38142
878	10738	38127
879	10748	38109
880	10760	38096
881	10772	38081
882	10782	38063
883	10795	38051
884	10808	38043
885	10819	38028
886	10831	38013
887	10843	38000
888	10855	37986
889	10867	37975
890	10880	37966
891	10893	37955
892	10905	37944
893	10920	37939
894	10933	37930
895	10944	37916
896	10956	37902
897	10967	37885
898	10978	37869
899	10991	37860
900	11003	37847
901	11017	37839
902	11030	37832
903	11043	37821
904	11057	37814
905	11070	37806
906	11083	37796
907	11096	37785
908	11108	37774
909	11122	37766
910	11134	37755
911	11147	37745
912	11161	37737
913	11175	37730
914	11188	37724
915	11201	37713
916	11217	37712
917	11231	37707
918	11245	37699
919	11257	37689
920	11270	37678
921	11283	37669
922	11295	37654
923	11306	37639
924	11317	37622
925	11328	37605
926	11340	37593
927	11353	37583
928	11365	37569
929	11377	37559
930	11390	37549
931	11403	37538
932	11416	37529
933	11429	37518
934	11441	37507
935	11454	37497
936	11468	37488
937	11480	37476
938	11494	37469
939	11507	37460
940	11520	37449
941	11530	37432
942	11542	37418
943	11554	37405
944	11566	37390
945	11577	37375
946	11588	37360
947	11600	37346
948	11612	37333
949	11624	37319
950	11635	37305
951	11647	37293
952	11660	37282
953	11673	37270
954	11684	37255
955	11695	37240
956	11707	37227
957	11719	37212
958	11732	37203
959	11746	37196
960	11758	37184
961	11772	37176
962	11783	37162
963	11797	37154
964	11809	37142
965	11821	37127
966	11834	37117
967	11845	37103
968	11856	37087
969	11868	37074
970	11880	37061
971	11893	37051
972	11904	37036
973	11916	37023
974	11927	37006
975	11939	36993
976	11951	36978
977	11962	36962
978	11974	36949
979	11986	36937
980	11998	36923
981	12010	36911
982	12021	36896
983	12033	36883
984	12047	36877
985	12060	36865
986	12071	36850
987	12082	36834
988	12094	36821
989	12106	36809
990	12118	36795
991	12129	36780
992	12140	36764
993	12153	36753
994	12165	36741
995	12178	36732
996	12191	36720
997	12203	36709
998	12217	36701
999	12233	36699
1000	12244	36685
1001	12256	36670
1002	12268	36659
1003	12283	36655
1004	12298	36649
1005	12314	36648
1006	12326	36637
1007	12340	36630
1008	12354	36621
1009	12367	36611
1010	12380	36602
1011	12393	36592
1012	12406	36581
1013	12418	36569
1014	12430	36557
1015	12443	36545
1016	12456	36537
1017	12470	36528
1018	12482	36517
1019	12494	36504
1020	12508	36495
1021	12520	36484
1022	12534	36475
1023	12546	36464
1024	12558	36450
1025	12569	36435
1026	12581	36422
1027	12593	36408
1028	12605	36395
1029	12617	36381
1030	12632	36377
1031	12644	36364
1032	12655	36348
1033	12667	36335
1034	12679	36322
1035	12691	36311
1036	12704	36298
1037	12716	36287
1038	12727	36270
1039	12739	36257
1040	12750	36243
1041	12764	36236
1042	12776	36223
1043	12790	36214
1044	12802	36201
1045	12814	36189
1046	12826	36177
1047	12840	36167
1048	12853	36158
1049	12865	36144
1050	12876	36130
1051	12888	36117
1052	12901	36105
1053	12913	36092
1054	12925	36080
1055	12937	36068
1056	12949	36054
1057	12961	36041
1058	12972	36027
1059	12984	36013
1060	12994	35996
1061	13006	35981
1062	13016	35963
1063	13028	35951
1064	13039	35936
1065	13052	35924
1066	13064	35911
1067	13075	35897
1068	13087	35884
1069	13099	35870
1070	13111	35857
1071	13123	35844
1072	13135	35831
1073	13149	35823
1074	13162	35814
1075	13174	35802
1076	13189	35796
1077	13203	35788
1078	13216	35778
1079	13229	35768
1080	13242	35759
1081	13254	35746
1082	13267	35735
1083	13278	35720
1084	13290	35705
1085	13302	35693
1086	13314	35679
1087	13325	35666
1088	13336	35649
1089	13348	35635
1090	13359	35621
1091	13372	35609
1092	13384	35598
1093	13396	35584
1094	13410	35577
1095	13424	35569
1096	13438	35561
1097	13450	35548
1098	13463	35539
1099	13476	35529
1100	13490	35520
1101	13503	35510
1102	13516	35499
1103	13528	35487
1104	13540	35473
1105	13552	35462
1106	13564	35450
1107	13577	35439
1108	13590	35427
1109	13603	35417
1110	13616	35408
1111	13630	35400
1112	13642	35387
1113	13655	35376
1114	13668	35366
1115	13680	35353
1116	13692	35340
1117	13704	35326
1118	13717	35317
1119	13730	35307
1120	13742	35295
1121	13754	35280
1122	13765	35266
1123	13779	35258
1124	13792	35247
1125	13804	35233
1126	13815	35218
1127	13827	35207
1128	13840	35196
1129	13853	35185
1130	13864	35170
1131	13877	35158
1132	13890	35149
1133	13902	35136
1134	13914	35123
1135	13926	35110
1136	13939	35099
1137	13951	35086
1138	13963	35074
1139	13976	35062
1140	13989	35052
1141	14001	35040
1142	14014	35029
1143	14026	35018
1144	14039	35006
1145	14053	34997
1146	14065	34984
1147	14076	34971
1148	14090	34961
1149	14102	34949
1150	14115	34940
1151	14129	34930
1152	14140	34915
1153	14153	34905
1154	14165	34892
1155	14178	34881
1156	14192	34874
1157	14203	34859
1158	14216	34847
1159	14228	34834
1160	14240	34823
1161	14254	34813
1162	14267	34805
1163	14282	34797
1164	14295	34788
1165	14308	34778
1166	14321	34767
1167	14335	34757
1168	14349	34750
1169	14362	34738
1170	14374	34728
1171	14387	34716
1172	14399	34703
1173	14412	34692
1174	14425	34681
1175	14439	34673
1176	14454	34669
1177	14469	34662
1178	14483	34653
1179	14497	34646
1180	14513	34642
1181	14527	34635
1182	14540	34624
1183	14554	34615
1184	14567	34605
1185	14579	34592
1186	14592	34581
1187	14606	34572
1188	14619	34562
1189	14633	34555
1190	14647	34546
1191	14661	34537
1192	14676	34531
1193	14689	34521
1194	14703	34513
1195	14716	34502
1196	14729	34491
1197	14744	34485
1198	14757	34475
1199	14771	34466
1200	14784	34455
1201	14796	34442
1202	14810	34434
1203	14824	34426
1204	14838	34418
1205	14855	34415
1206	14868	34405
1207	14881	34396
1208	14896	34388
1209	14909	34377
1210	14921	34365
1211	14935	34355
1212	14947	34343
1213	14960	34332
1214	14974	34323
1215	14989	34317
1216	15002	34307
1217	15015	34297
1218	15029	34287
1219	15041	34275
1220	15055	34267
1221	15068	34256
1222	15082	34247
1223	15094	34234
1224	15106	34221
1225	15119	34209
1226	15132	34198
1227	15146	34191
1228	15159	34180
1229	15173	34170
1230	15185	34158
1231	15198	34146
1232	15211	34135
1233	15223	34124
1234	15238	34117
1235	15252	34109
1236	15264	34096
1237	15279	34087
1238	15298	34092
1239	15311	34081
1240	15327	34075
1241	15342	34069
1242	15357	34063
1243	15372	34057
1244	15386	34048
1245	15399	34038
1246	15414	34031
1247	15428	34021
1248	15441	34010
1249	15453	33997
1250	15466	33987
1251	15481	33981
1252	15496	33972
1253	15510	33964
1254	15522	33952
1255	15535	33941
1256	15550	33933
1257	15564	33926
1258	15578	33917
1259	15592	33907
1260	15608	33902
1261	15623	33895
1262	15635	33883
1263	15648	33872
1264	15663	33865
1265	15678	33858
1266	15691	33847
1267	15705	33838
1268	15719	33830
1269	15736	33826
1270	15750	33818
1271	15763	33807
1272	15776	33797
1273	15792	33792
1274	15807	33785
1275	15822	33776
1276	15837	33770
1277	15850	33759
1278	15862	33747
1279	15877	33740
1280	15893	33735
1281	15915	33743
1282	15942	33760
1283	15967	33776
1284	15985	33775
1285	16005	33778
1286	16023	33778
1287	16042	33778
1288	16057	33770
1289	16071	33762
1290	16085	33753
1291	16100	33747
1292	16115	33738
1293	16128	33728
1294	16142	33718
1295	16156	33708
1296	16170	33699
1297	16182	33686
1298	16194	33673
1299	16206	33659
1300	16217	33643
1301	16229	33631
1302	16242	33619
1303	16255	33607
1304	16267	33595
1305	16280	33582
1306	16293	33572
1307	16306	33561
1308	16319	33548
1309	16331	33535
1310	16343	33521
1311	16355	33507
1312	16367	33495
1313	16381	33485
1314	16395	33477
1315	16408	33466
1316	16422	33456
1317	16436	33447
1318	16448	33432
1319	16460	33420
1320	16473	33407
1321	16486	33397
1322	16499	33386
1323	16514	33378
1324	16528	33368
1325	16540	33356
1326	16555	33347
1327	16567	33334
1328	16581	33324
1329	16595	33316
1330	16610	33308
1331	16622	33295
1332	16635	33283
1333	16648	33273
1334	16662	33262
1335	16674	33250
1336	16689	33242
1337	16704	33233
1338	16718	33224
1339	16731	33213
1340	16744	33200
1341	16757	33191
1342	16771	33180
1343	16783	33167
1344	16796	33156
1345	16808	33141
1346	16821	33130
1347	16836	33124
1348	16851	33115
1349	16865	33105
1350	16880	33098
1351	16895	33090
1352	16908	33078
1353	16921	33068
1354	16934	33056
1355	16948	33047
1356	16962	33037
1357	16977	33029
1358	16991	33020
1359	17004	33009
1360	17016	32996
1361	17029	32983
1362	17042	32971
1363	17054	32958
1364	17068	32948
1365	17082	32938
1366	17094	32926
1367	17109	32918
1368	17122	32907
1369	17136	32896
1370	17150	32887
1371	17162	32874
1372	17175	32862
1373	17187	32849
1374	17200	32837
1375	17213	32825
1376	17227	32816
1377	17241	32806
1378	17252	32791
1379	17263	32776
1380	17285	32781
1381	17297	32767
1382	17309	32754
1383	17322	32743
1384	17335	32730
1385	17346	32716
1386	17357	32699
1387	17368	32685
1388	17381	32672
1389	17393	32658
1390	17405	32647
1391	17417	32633
1392	17430	32621
1393	17443	32610
1394	17456	32597
1395	17469	32587
1396	17483	32575
1397	17497	32566
1398	17510	32555
1399	17524	32544
1400	17537	32534
1401	17552	32525
1402	17565	32514
1403	17579	32505
1404	17594	32496
1405	17609	32487
1406	17623	32478
1407	17638	32470
1408	17651	32458
1409	17664	32448
1410	17677	32435
1411	17692	32427
1412	17719	32441
1413	17732	32430
1414	17746	32420
1415	17760	32409
1416	17772	32396
1417	17785	32384
1418	17797	32371
1419	17810	32360
1420	17824	32350
1421	17839	32342
1422	17854	32333
1423	17867	32322
1424	17881	32311
1425	17894	32301
1426	17908	32291
1427	17921	32279
1428	17933	32265
1429	17946	32253
1430	17959	32241
1431	17977	32238
1432	17989	32226
1433	18002	32213
1434	18014	32200
1435	18028	32189
1436	18039	32174
1437	18052	32162
1438	18066	32152
1439	18082	32145
1440	18097	32139
1441	18112	32129
1442	18125	32118
1443	18138	32107
1444	18152	32096
1445	18166	32086
1446	18180	32076
1447	18194	32066
1448	18207	32055
1449	18220	32043
1450	18234	32032
1451	18248	32023
1452	18262	32012
1453	18277	32003
1454	18290	31993
1455	18304	31983
1456	18318	31973
1457	18332	31962
1458	18346	31952
1459	18359	31939
1460	18372	31929
1461	18387	31920
1462	18401	31910
1463	18413	31896
1464	18427	31886
1465	18440	31873
1466	18453	31862
1467	18467	31852
1468	18480	31841
1469	18494	31829
1470	18506	31817
1471	18519	31805
1472	18531	31791
1473	18544	31779
1474	18556	31766
1475	18569	31754
1476	18582	31742
1477	18595	31731
1478	18607	31717
1479	18619	31703
1480	18631	31689
1481	18642	31674
1482	18654	31660
1483	18667	31648
1484	18680	31638
1485	18693	31625
1486	18705	31612
1487	18719	31601
1488	18730	31585
1489	18742	31573
1490	18768	31582
1491	18780	31568
1492	18791	31554
1493	18803	31539
1494	18815	31527
1495	18828	31514
1496	18840	31501
1497	18852	31487
1498	18865	31475
1499	18878	31464
1500	18891	31451
1501	18903	31439
1502	18917	31427
1503	18929	31414
1504	18943	31404
1505	18955	31391
1506	18969	31381
1507	18981	31367
1508	18995	31357
1509	19010	31348
1510	19025	31340
1511	19039	31328
1512	19052	31317
1513	19065	31306
1514	19079	31295
1515	19091	31281
1516	19103	31267
1517	19115	31254
1518	19126	31239
1519	19138	31226
1520	19152	31214
1521	19163	31200
1522	19175	31187
1523	19187	31172
1524	19197	31157
1525	19209	31143
1526	19223	31132
1527	19237	31121
1528	19250	31111
1529	19263	31099
1530	19277	31087
1531	19290	31075
1532	19302	31062
1533	19314	31048
1534	19325	31034
1535	19338	31021
1536	19349	31007
1537	19363	30996
1538	19376	30985
1539	19389	30972
1540	19400	30957
1541	19412	30943
1542	19423	30929
1543	19437	30918
1544	19449	30905
1545	19462	30893
1546	19475	30881
1547	19488	30869
1548	19501	30858
1549	19516	30848
1550	19529	30836
1551	19543	30826
1552	19555	30813
1553	19567	30799
1554	19580	30787
1555	19593	30776
1556	19607	30765
1557	19620	30753
1558	19633	30741
1559	19646	30729
1560	19660	30718
1561	19672	30704
1562	19685	30693
1563	19696	30678
1564	19708	30664
1565	19719	30649
1566	19731	30636
1567	19743	30622
1568	19755	30609
1569	19767	30594
1570	19779	30581
1571	19792	30569
1572	19803	30555
1573	19817	30544
1574	19829	30531
1575	19843	30520
1576	19856	30508
1577	19869	30496
1578	19881	30483
1579	19894	30470
1580	19906	30457
1581	19919	30446
1582	19933	30435
1583	19947	30424
1584	19960	30413
1585	19973	30400
1586	19987	30391
1587	20000	30379
1588	20013	30366
1589	20025	30353
1590	20038	30341
1591	20051	30328
1592	20064	30317
1593	20077	30305
1594	20094	30298
1595	20108	30288
1596	20123	30280
1597	20139	30272
1598	20154	30263
1599	20168	30252
1600	20181	30240
1601	20195	30229
1602	20207	30216
1603	20219	30202
1604	20232	30191
1605	20245	30179
1606	20258	30167
1607	20274	30159
1608	20288	30148
1609	20300	30135
1610	20313	30123
1611	20325	30110
1612	20338	30097
1613	20350	30084
1614	20364	30073
1615	20377	30061
1616	20388	30047
1617	20401	30035
1618	20415	30024
1619	20430	30014
1620	20443	30003
1621	20454	29988
1622	20466	29974
1623	20478	29960
1624	20490	29947
1625	20502	29933
1626	20514	29920
1627	20526	29907
1628	20538	29893
1629	20550	29879
1630	20562	29866
1631	20573	29852
1632	20586	29839
1633	20599	29827
1634	20611	29814
1635	20625	29803
1636	20637	29789
1637	20650	29777
1638	20664	29767
1639	20676	29753
1640	20689	29741
1641	20702	29730
1642	20715	29717
1643	20728	29705
1644	20740	29691
